id,name,set,country,round,type
538,MHM ETR5 FQ,MHM,ET,5,FQ
539,MHM ETR5 SQ,MHM,ET,5,SQ
540,MHM ETR6 HQ,MHM,ET,6,HQ
541,MHM ETR6 FQ,MHM,ET,6,FQ
542,MHM ETR6 SQ,MHM,ET,6,SQ
543,MHM ETR7 HQ,MHM,ET,7,HQ
544,MHM ETR7 FQ,MHM,ET,7,FQ
545,MHM ETR7 SQ,MHM,ET,7,SQ
546,MHM GHR1 HQ,MHM,GH,1,HQ
547,MHM GHR1 FQ,MHM,GH,1,FQ
548,MHM GHR1 SQ,MHM,GH,1,SQ
549,MHM GHR2 HQ,MHM,GH,2,HQ
550,MHM GHR2 FQ,MHM,GH,2,FQ
551,MHM GHR2 SQ,MHM,GH,2,SQ
552,MHM GHR3 HQ,MHM,GH,3,HQ
553,MHM GHR3 FQ,MHM,GH,3,FQ
554,MHM GHR3 SQ,MHM,GH,3,SQ
555,MHM GHR4 HQ,MHM,GH,4,HQ
556,MHM GHR4 FQ,MHM,GH,4,FQ
557,MHM GHR4 SQ,MHM,GH,4,SQ
558,MHM GHR5 HQ,MHM,GH,5,HQ
559,MHM GHR5 FQ,MHM,GH,5,FQ
560,MHM GHR5 SQ,MHM,GH,5,SQ
561,MHM GHR6 HQ,MHM,GH,6,HQ
562,MHM GHR6 FQ,MHM,GH,6,FQ
563,MHM GHR6 SQ,MHM,GH,6,SQ
564,MHM GHR7 HQ,MHM,GH,7,HQ
565,MHM GHR7 FQ,MHM,GH,7,FQ
566,MHM GHR7 SQ,MHM,GH,7,SQ
567,MHM INR1 HQ,MHM,IN,1,HQ
568,MHM INR1 FQ,MHM,IN,1,FQ
569,MHM INR1 SQ,MHM,IN,1,SQ
570,MHM INR2 HQ,MHM,IN,2,HQ
571,MHM INR2 FQ,MHM,IN,2,FQ
572,MHM INR2 SQ,MHM,IN,2,SQ
573,MHM INR3 HQ,MHM,IN,3,HQ
574,MHM INR3 FQ,MHM,IN,3,FQ
575,MHM INR3 SQ,MHM,IN,3,SQ
576,MHM INR4 HQ,MHM,IN,4,HQ
577,MHM INR4 FQ,MHM,IN,4,FQ
578,MHM INR4 SQ,MHM,IN,4,SQ
579,MHM INR5 HQ,MHM,IN,5,HQ
580,MHM INR5 FQ,MHM,IN,5,FQ
581,MHM INR5 SQ,MHM,IN,5,SQ
582,MHM INR6 HQ,MHM,IN,6,HQ
583,MHM INR6 FQ,MHM,IN,6,FQ
584,MHM INR6 SQ,MHM,IN,6,SQ
585,MHM INR7 HQ,MHM,IN,7,HQ
586,MHM INR7 FQ,MHM,IN,7,FQ
587,MHM INR7 SQ,MHM,IN,7,SQ
588,MHM IDR1 HQ,MHM,ID,1,HQ
589,MHM IDR1 FQ,MHM,ID,1,FQ
590,MHM IDR1 SQ,MHM,ID,1,SQ
591,MHM IDR2 HQ,MHM,ID,2,HQ
592,MHM IDR2 FQ,MHM,ID,2,FQ
593,MHM IDR2 SQ,MHM,ID,2,SQ
594,MHM IDR3 HQ,MHM,ID,3,HQ
595,MHM IDR3 FQ,MHM,ID,3,FQ
596,MHM IDR3 SQ,MHM,ID,3,SQ
597,MHM IDR4 HQ,MHM,ID,4,HQ
598,MHM IDR4 FQ,MHM,ID,4,FQ
599,MHM IDR4 SQ,MHM,ID,4,SQ
600,MHM IDR5 HQ,MHM,ID,5,HQ
601,MHM IDR5 FQ,MHM,ID,5,FQ
602,MHM IDR5 SQ,MHM,ID,5,SQ
603,MHM IDR6 HQ,MHM,ID,6,HQ
604,MHM IDR6 FQ,MHM,ID,6,FQ
605,MHM IDR6 SQ,MHM,ID,6,SQ
606,MHM IDR7 HQ,MHM,ID,7,HQ
607,MHM IDR7 FQ,MHM,ID,7,FQ
608,MHM IDR7 SQ,MHM,ID,7,SQ
609,MHM KER1 HQ,MHM,KE,1,HQ
610,MHM KER1 FQ,MHM,KE,1,FQ
611,MHM KER1 SQ,MHM,KE,1,SQ
612,MHM KER2 HQ,MHM,KE,2,HQ
613,MHM KER2 FQ,MHM,KE,2,FQ
614,MHM KER2 SQ,MHM,KE,2,SQ
615,MHM KER3 HQ,MHM,KE,3,HQ
616,MHM KER3 FQ,MHM,KE,3,FQ
617,MHM KER3 SQ,MHM,KE,3,SQ
618,MHM KER4 HQ,MHM,KE,4,HQ
619,MHM KER4 FQ,MHM,KE,4,FQ
620,MHM KER4 SQ,MHM,KE,4,SQ
621,MHM KER5 HQ,MHM,KE,5,HQ
622,MHM KER5 FQ,MHM,KE,5,FQ
623,MHM KER5 SQ,MHM,KE,5,SQ
624,MHM KER6 HQ,MHM,KE,6,HQ
625,MHM KER6 FQ,MHM,KE,6,FQ
626,MHM KER6 SQ,MHM,KE,6,SQ
627,MHM KER7 HQ,MHM,KE,7,HQ
628,MHM KER7 FQ,MHM,KE,7,FQ
629,MHM KER7 SQ,MHM,KE,7,SQ
630,MHM NGR1 HQ,MHM,NG,1,HQ
631,MHM NGR1 FQ,MHM,NG,1,FQ
632,MHM NGR1 SQ,MHM,NG,1,SQ
633,MHM NGR2 HQ,MHM,NG,2,HQ
634,MHM NGR2 FQ,MHM,NG,2,FQ
635,MHM NGR2 SQ,MHM,NG,2,SQ
636,MHM NGR3 HQ,MHM,NG,3,HQ
637,MHM NGR3 FQ,MHM,NG,3,FQ
638,MHM NGR3 SQ,MHM,NG,3,SQ
639,MHM NGR4 HQ,MHM,NG,4,HQ
640,MHM NGR4 FQ,MHM,NG,4,FQ
641,MHM NGR4 SQ,MHM,NG,4,SQ
642,MHM NGR5 HQ,MHM,NG,5,HQ
643,MHM NGR5 FQ,MHM,NG,5,FQ
644,MHM NGR5 SQ,MHM,NG,5,SQ
645,MHM NGR6 HQ,MHM,NG,6,HQ
646,MHM NGR6 FQ,MHM,NG,6,FQ
647,MHM NGR6 SQ,MHM,NG,6,SQ
648,MHM NGR7 HQ,MHM,NG,7,HQ
649,MHM NGR7 FQ,MHM,NG,7,FQ
650,MHM NGR7 SQ,MHM,NG,7,SQ
651,MHM NER1 HQ,MHM,NE,1,HQ
652,MHM NER1 FQ,MHM,NE,1,FQ
653,MHM NER1 SQ,MHM,NE,1,SQ
654,MHM NER2 HQ,MHM,NE,2,HQ
655,MHM NER2 FQ,MHM,NE,2,FQ
656,MHM NER2 SQ,MHM,NE,2,SQ
657,MHM NER3 HQ,MHM,NE,3,HQ
658,MHM NER3 FQ,MHM,NE,3,FQ
659,MHM NER3 SQ,MHM,NE,3,SQ
660,MHM NER4 HQ,MHM,NE,4,HQ
661,MHM NER4 FQ,MHM,NE,4,FQ
662,MHM NER4 SQ,MHM,NE,4,SQ
663,MHM NER5 HQ,MHM,NE,5,HQ
664,MHM NER5 FQ,MHM,NE,5,FQ
665,MHM NER5 SQ,MHM,NE,5,SQ
666,MHM NER6 HQ,MHM,NE,6,HQ
667,MHM NER6 FQ,MHM,NE,6,FQ
668,MHM NER6 SQ,MHM,NE,6,SQ
669,MHM NER7 HQ,MHM,NE,7,HQ
670,MHM NER7 FQ,MHM,NE,7,FQ
671,MHM NER7 SQ,MHM,NE,7,SQ
672,MHM UGR1 HQ,MHM,UG,1,HQ
673,MHM UGR1 FQ,MHM,UG,1,FQ
674,MHM UGR1 SQ,MHM,UG,1,SQ
675,MHM UGR2 HQ,MHM,UG,2,HQ
676,MHM UGR2 FQ,MHM,UG,2,FQ
677,MHM UGR2 SQ,MHM,UG,2,SQ
678,MHM UGR3 HQ,MHM,UG,3,HQ
679,MHM UGR3 FQ,MHM,UG,3,FQ
680,MHM UGR3 SQ,MHM,UG,3,SQ
681,MHM UGR4 HQ,MHM,UG,4,HQ
682,MHM UGR4 FQ,MHM,UG,4,FQ
683,MHM UGR4 SQ,MHM,UG,4,SQ
684,MHM UGR5 HQ,MHM,UG,5,HQ
685,MHM UGR5 FQ,MHM,UG,5,FQ
686,MHM UGR5 SQ,MHM,UG,5,SQ
687,MHM UGR6 HQ,MHM,UG,6,HQ
688,MHM UGR6 FQ,MHM,UG,6,FQ
689,MHM UGR6 SQ,MHM,UG,6,SQ
690,MHM UGR7 HQ,MHM,UG,7,HQ
691,MHM UGR7 FQ,MHM,UG,7,FQ
692,MHM UGR7 SQ,MHM,UG,7,SQ
693,SCI BFR1 HQ,SCI,BF,1,HQ
694,SCI BFR1 FQ,SCI,BF,1,FQ
695,SCI BFR1 SQ,SCI,BF,1,SQ
696,SCI BFR2 HQ,SCI,BF,2,HQ
697,SCI BFR2 FQ,SCI,BF,2,FQ
698,SCI BFR2 SQ,SCI,BF,2,SQ
699,SCI BFR3 HQ,SCI,BF,3,HQ
700,SCI BFR3 FQ,SCI,BF,3,FQ
701,SCI BFR3 SQ,SCI,BF,3,SQ
702,SCI BFR4 HQ,SCI,BF,4,HQ
703,SCI BFR4 FQ,SCI,BF,4,FQ
704,SCI BFR4 SQ,SCI,BF,4,SQ
705,SCI BFR5 HQ,SCI,BF,5,HQ
706,SCI BFR5 FQ,SCI,BF,5,FQ
707,SCI BFR5 SQ,SCI,BF,5,SQ
708,SCI BFR6 HQ,SCI,BF,6,HQ
709,SCI BFR6 FQ,SCI,BF,6,FQ
710,SCI BFR6 SQ,SCI,BF,6,SQ
711,SCI BFR7 HQ,SCI,BF,7,HQ
712,SCI BFR7 FQ,SCI,BF,7,FQ
713,SCI BFR7 SQ,SCI,BF,7,SQ
714,SCI CIR1 HQ,SCI,CI,1,HQ
715,SCI CIR1 FQ,SCI,CI,1,FQ
716,SCI CIR1 SQ,SCI,CI,1,SQ
717,SCI CIR2 HQ,SCI,CI,2,HQ
718,SCI CIR2 FQ,SCI,CI,2,FQ
719,SCI CIR2 SQ,SCI,CI,2,SQ
720,SCI CIR3 HQ,SCI,CI,3,HQ
721,SCI CIR3 FQ,SCI,CI,3,FQ
722,SCI CIR3 SQ,SCI,CI,3,SQ
723,SCI CIR4 HQ,SCI,CI,4,HQ
724,SCI CIR4 FQ,SCI,CI,4,FQ
725,SCI CIR4 SQ,SCI,CI,4,SQ
726,SCI CIR5 HQ,SCI,CI,5,HQ
727,SCI CIR5 FQ,SCI,CI,5,FQ
728,SCI CIR5 SQ,SCI,CI,5,SQ
729,SCI CIR6 HQ,SCI,CI,6,HQ
730,SCI CIR6 FQ,SCI,CI,6,FQ
731,SCI CIR6 SQ,SCI,CI,6,SQ
732,SCI CIR7 HQ,SCI,CI,7,HQ
733,SCI CIR7 FQ,SCI,CI,7,FQ
734,SCI CIR7 SQ,SCI,CI,7,SQ
735,SCI CDR1 HQ,SCI,CD,1,HQ
736,SCI CDR1 FQ,SCI,CD,1,FQ
737,SCI CDR1 SQ,SCI,CD,1,SQ
738,SCI CDR2 HQ,SCI,CD,2,HQ
739,SCI CDR2 FQ,SCI,CD,2,FQ
740,SCI CDR2 SQ,SCI,CD,2,SQ
741,SCI CDR3 HQ,SCI,CD,3,HQ
742,SCI CDR3 FQ,SCI,CD,3,FQ
743,SCI CDR3 SQ,SCI,CD,3,SQ
744,SCI CDR4 HQ,SCI,CD,4,HQ
745,SCI CDR4 FQ,SCI,CD,4,FQ
746,SCI CDR4 SQ,SCI,CD,4,SQ
747,SCI CDR5 HQ,SCI,CD,5,HQ
748,SCI CDR5 FQ,SCI,CD,5,FQ
749,SCI CDR5 SQ,SCI,CD,5,SQ
750,SCI CDR6 HQ,SCI,CD,6,HQ
751,SCI CDR6 FQ,SCI,CD,6,FQ
752,SCI CDR6 SQ,SCI,CD,6,SQ
753,SCI CDR7 HQ,SCI,CD,7,HQ
754,SCI CDR7 FQ,SCI,CD,7,FQ
755,SCI CDR7 SQ,SCI,CD,7,SQ
756,SCI ETR1 HQ,SCI,ET,1,HQ
757,SCI ETR1 FQ,SCI,ET,1,FQ
758,SCI ETR1 SQ,SCI,ET,1,SQ
759,SCI ETR2 HQ,SCI,ET,2,HQ
760,SCI ETR2 FQ,SCI,ET,2,FQ
761,SCI ETR2 SQ,SCI,ET,2,SQ
762,SCI ETR3 HQ,SCI,ET,3,HQ
763,SCI ETR3 FQ,SCI,ET,3,FQ
764,SCI ETR3 SQ,SCI,ET,3,SQ
765,SCI ETR4 HQ,SCI,ET,4,HQ
766,SCI ETR4 FQ,SCI,ET,4,FQ
767,SCI ETR4 SQ,SCI,ET,4,SQ
768,SCI ETR5 HQ,SCI,ET,5,HQ
769,SCI ETR5 FQ,SCI,ET,5,FQ
770,SCI ETR5 SQ,SCI,ET,5,SQ
771,SCI ETR6 HQ,SCI,ET,6,HQ
772,SCI ETR6 FQ,SCI,ET,6,FQ
773,SCI ETR6 SQ,SCI,ET,6,SQ
774,SCI ETR7 HQ,SCI,ET,7,HQ
775,SCI ETR7 FQ,SCI,ET,7,FQ
776,SCI ETR7 SQ,SCI,ET,7,SQ
777,SCI GHR1 HQ,SCI,GH,1,HQ
778,SCI GHR1 FQ,SCI,GH,1,FQ
779,SCI GHR1 SQ,SCI,GH,1,SQ
780,SCI GHR2 HQ,SCI,GH,2,HQ
781,SCI GHR2 FQ,SCI,GH,2,FQ
782,SCI GHR2 SQ,SCI,GH,2,SQ
783,SCI GHR3 HQ,SCI,GH,3,HQ
784,SCI GHR3 FQ,SCI,GH,3,FQ
785,SCI GHR3 SQ,SCI,GH,3,SQ
786,SCI GHR4 HQ,SCI,GH,4,HQ
787,SCI GHR4 FQ,SCI,GH,4,FQ
788,SCI GHR4 SQ,SCI,GH,4,SQ
789,SCI GHR5 HQ,SCI,GH,5,HQ
790,SCI GHR5 FQ,SCI,GH,5,FQ
791,SCI GHR5 SQ,SCI,GH,5,SQ
792,SCI GHR6 HQ,SCI,GH,6,HQ
793,SCI GHR6 FQ,SCI,GH,6,FQ
794,SCI GHR6 SQ,SCI,GH,6,SQ
795,SCI GHR7 HQ,SCI,GH,7,HQ
796,SCI GHR7 FQ,SCI,GH,7,FQ
797,SCI GHR7 SQ,SCI,GH,7,SQ
798,SCI INR1 HQ,SCI,IN,1,HQ
799,SCI INR1 FQ,SCI,IN,1,FQ
800,SCI INR1 SQ,SCI,IN,1,SQ
801,SCI INR2 HQ,SCI,IN,2,HQ
802,SCI INR2 FQ,SCI,IN,2,FQ
803,SCI INR2 SQ,SCI,IN,2,SQ
804,SCI INR3 HQ,SCI,IN,3,HQ
805,SCI INR3 FQ,SCI,IN,3,FQ
806,SCI INR3 SQ,SCI,IN,3,SQ
807,SCI INR4 HQ,SCI,IN,4,HQ
808,SCI INR4 FQ,SCI,IN,4,FQ
809,SCI INR4 SQ,SCI,IN,4,SQ
810,SCI INR5 HQ,SCI,IN,5,HQ
811,SCI INR5 FQ,SCI,IN,5,FQ
812,SCI INR5 SQ,SCI,IN,5,SQ
813,SCI INR6 HQ,SCI,IN,6,HQ
814,SCI INR6 FQ,SCI,IN,6,FQ
815,SCI INR6 SQ,SCI,IN,6,SQ
816,SCI INR7 HQ,SCI,IN,7,HQ
817,SCI INR7 FQ,SCI,IN,7,FQ
818,SCI INR7 SQ,SCI,IN,7,SQ
819,SCI IDR1 HQ,SCI,ID,1,HQ
820,SCI IDR1 FQ,SCI,ID,1,FQ
821,SCI IDR1 SQ,SCI,ID,1,SQ
822,SCI IDR2 HQ,SCI,ID,2,HQ
823,SCI IDR2 FQ,SCI,ID,2,FQ
824,SCI IDR2 SQ,SCI,ID,2,SQ
825,SCI IDR3 HQ,SCI,ID,3,HQ
826,SCI IDR3 FQ,SCI,ID,3,FQ
827,SCI IDR3 SQ,SCI,ID,3,SQ
828,SCI IDR4 HQ,SCI,ID,4,HQ
829,SCI IDR4 FQ,SCI,ID,4,FQ
830,SCI IDR4 SQ,SCI,ID,4,SQ
831,SCI IDR5 HQ,SCI,ID,5,HQ
832,SCI IDR5 FQ,SCI,ID,5,FQ
833,SCI IDR5 SQ,SCI,ID,5,SQ
834,SCI IDR6 HQ,SCI,ID,6,HQ
835,SCI IDR6 FQ,SCI,ID,6,FQ
836,SCI IDR6 SQ,SCI,ID,6,SQ
837,SCI IDR7 HQ,SCI,ID,7,HQ
838,SCI IDR7 FQ,SCI,ID,7,FQ
839,SCI IDR7 SQ,SCI,ID,7,SQ
840,SCI KER1 HQ,SCI,KE,1,HQ
841,SCI KER1 FQ,SCI,KE,1,FQ
842,SCI KER1 SQ,SCI,KE,1,SQ
843,SCI KER2 HQ,SCI,KE,2,HQ
844,SCI KER2 FQ,SCI,KE,2,FQ
845,SCI KER2 SQ,SCI,KE,2,SQ
846,SCI KER3 HQ,SCI,KE,3,HQ
847,SCI KER3 FQ,SCI,KE,3,FQ
848,SCI KER3 SQ,SCI,KE,3,SQ
849,SCI KER4 HQ,SCI,KE,4,HQ
850,SCI KER4 FQ,SCI,KE,4,FQ
851,SCI KER4 SQ,SCI,KE,4,SQ
852,SCI KER5 HQ,SCI,KE,5,HQ
853,SCI KER5 FQ,SCI,KE,5,FQ
854,SCI KER5 SQ,SCI,KE,5,SQ
855,SCI KER6 HQ,SCI,KE,6,HQ
856,SCI KER6 FQ,SCI,KE,6,FQ
857,SCI KER6 SQ,SCI,KE,6,SQ
858,SCI KER7 HQ,SCI,KE,7,HQ
859,SCI KER7 FQ,SCI,KE,7,FQ
860,SCI KER7 SQ,SCI,KE,7,SQ
861,SCI NGR1 HQ,SCI,NG,1,HQ
862,SCI NGR1 FQ,SCI,NG,1,FQ
863,SCI NGR1 SQ,SCI,NG,1,SQ
864,SCI NGR2 HQ,SCI,NG,2,HQ
865,SCI NGR2 FQ,SCI,NG,2,FQ
866,SCI NGR2 SQ,SCI,NG,2,SQ
867,SCI NGR3 HQ,SCI,NG,3,HQ
868,SCI NGR3 FQ,SCI,NG,3,FQ
869,SCI NGR3 SQ,SCI,NG,3,SQ
870,SCI NGR4 HQ,SCI,NG,4,HQ
871,SCI NGR4 FQ,SCI,NG,4,FQ
872,SCI NGR4 SQ,SCI,NG,4,SQ
873,SCI NGR5 HQ,SCI,NG,5,HQ
874,SCI NGR5 FQ,SCI,NG,5,FQ
875,SCI NGR5 SQ,SCI,NG,5,SQ
876,SCI NGR6 HQ,SCI,NG,6,HQ
877,SCI NGR6 FQ,SCI,NG,6,FQ
878,SCI NGR6 SQ,SCI,NG,6,SQ
879,SCI NGR7 HQ,SCI,NG,7,HQ
880,SCI NGR7 FQ,SCI,NG,7,FQ
881,SCI NGR7 SQ,SCI,NG,7,SQ
882,SCI NER1 HQ,SCI,NE,1,HQ
883,SCI NER1 FQ,SCI,NE,1,FQ
884,SCI NER1 SQ,SCI,NE,1,SQ
885,SCI NER2 HQ,SCI,NE,2,HQ
886,SCI NER2 FQ,SCI,NE,2,FQ
887,SCI NER2 SQ,SCI,NE,2,SQ
888,SCI NER3 HQ,SCI,NE,3,HQ
889,SCI NER3 FQ,SCI,NE,3,FQ
890,SCI NER3 SQ,SCI,NE,3,SQ
891,SCI NER4 HQ,SCI,NE,4,HQ
892,SCI NER4 FQ,SCI,NE,4,FQ
893,SCI NER4 SQ,SCI,NE,4,SQ
894,SCI NER5 HQ,SCI,NE,5,HQ
895,SCI NER5 FQ,SCI,NE,5,FQ
896,SCI NER5 SQ,SCI,NE,5,SQ
897,SCI NER6 HQ,SCI,NE,6,HQ
898,SCI NER6 FQ,SCI,NE,6,FQ
899,SCI NER6 SQ,SCI,NE,6,SQ
900,SCI NER7 HQ,SCI,NE,7,HQ
901,SCI NER7 FQ,SCI,NE,7,FQ
902,SCI NER7 SQ,SCI,NE,7,SQ
903,SCI UGR1 HQ,SCI,UG,1,HQ
904,SCI UGR1 FQ,SCI,UG,1,FQ
905,SCI UGR1 SQ,SCI,UG,1,SQ
906,SCI UGR2 HQ,SCI,UG,2,HQ
907,SCI UGR2 FQ,SCI,UG,2,FQ
908,SCI UGR2 SQ,SCI,UG,2,SQ
909,SCI UGR3 HQ,SCI,UG,3,HQ
910,SCI UGR3 FQ,SCI,UG,3,FQ
911,SCI UGR3 SQ,SCI,UG,3,SQ
912,SCI UGR4 HQ,SCI,UG,4,HQ
913,SCI UGR4 FQ,SCI,UG,4,FQ
914,SCI UGR4 SQ,SCI,UG,4,SQ
915,SCI UGR5 HQ,SCI,UG,5,HQ
916,SCI UGR5 FQ,SCI,UG,5,FQ
917,SCI UGR5 SQ,SCI,UG,5,SQ
918,SCI UGR6 HQ,SCI,UG,6,HQ
919,SCI UGR6 FQ,SCI,UG,6,FQ
920,SCI UGR6 SQ,SCI,UG,6,SQ
921,SCI UGR7 HQ,SCI,UG,7,HQ
922,SCI UGR7 FQ,SCI,UG,7,FQ
923,SCI UGR7 SQ,SCI,UG,7,SQ
924,ABT BFR1 HQ,ABT,BF,1,HQ
925,ABT BFR1 FQ,ABT,BF,1,FQ
926,ABT BFR1 SQ,ABT,BF,1,SQ
927,ABT BFR2 HQ,ABT,BF,2,HQ
928,ABT BFR2 FQ,ABT,BF,2,FQ
929,ABT BFR2 SQ,ABT,BF,2,SQ
930,ABT BFR3 HQ,ABT,BF,3,HQ
931,ABT BFR3 FQ,ABT,BF,3,FQ
932,ABT BFR3 SQ,ABT,BF,3,SQ
933,ABT BFR4 HQ,ABT,BF,4,HQ
934,ABT BFR4 FQ,ABT,BF,4,FQ
935,ABT BFR4 SQ,ABT,BF,4,SQ
936,ABT BFR5 HQ,ABT,BF,5,HQ
937,ABT BFR5 FQ,ABT,BF,5,FQ
938,ABT BFR5 SQ,ABT,BF,5,SQ
939,ABT BFR6 HQ,ABT,BF,6,HQ
940,ABT BFR6 FQ,ABT,BF,6,FQ
941,ABT BFR6 SQ,ABT,BF,6,SQ
942,ABT BFR7 HQ,ABT,BF,7,HQ
943,ABT BFR7 FQ,ABT,BF,7,FQ
944,ABT BFR7 SQ,ABT,BF,7,SQ
945,ABT CIR1 HQ,ABT,CI,1,HQ
946,ABT CIR1 FQ,ABT,CI,1,FQ
947,ABT CIR1 SQ,ABT,CI,1,SQ
948,ABT CIR2 HQ,ABT,CI,2,HQ
949,ABT CIR2 FQ,ABT,CI,2,FQ
950,ABT CIR2 SQ,ABT,CI,2,SQ
951,ABT CIR3 HQ,ABT,CI,3,HQ
952,ABT CIR3 FQ,ABT,CI,3,FQ
953,ABT CIR3 SQ,ABT,CI,3,SQ
954,ABT CIR4 HQ,ABT,CI,4,HQ
955,ABT CIR4 FQ,ABT,CI,4,FQ
956,ABT CIR4 SQ,ABT,CI,4,SQ
957,ABT CIR5 HQ,ABT,CI,5,HQ
958,ABT CIR5 FQ,ABT,CI,5,FQ
959,ABT CIR5 SQ,ABT,CI,5,SQ
960,ABT CIR6 HQ,ABT,CI,6,HQ
961,ABT CIR6 FQ,ABT,CI,6,FQ
962,ABT CIR6 SQ,ABT,CI,6,SQ
963,ABT CIR7 HQ,ABT,CI,7,HQ
964,ABT CIR7 FQ,ABT,CI,7,FQ
965,ABT CIR7 SQ,ABT,CI,7,SQ
966,ABT CDR1 HQ,ABT,CD,1,HQ
967,ABT CDR1 FQ,ABT,CD,1,FQ
968,ABT CDR1 SQ,ABT,CD,1,SQ
969,ABT CDR2 HQ,ABT,CD,2,HQ
970,ABT CDR2 FQ,ABT,CD,2,FQ
971,ABT CDR2 SQ,ABT,CD,2,SQ
972,ABT CDR3 HQ,ABT,CD,3,HQ
973,ABT CDR3 FQ,ABT,CD,3,FQ
974,ABT CDR3 SQ,ABT,CD,3,SQ
975,ABT CDR4 HQ,ABT,CD,4,HQ
976,ABT CDR4 FQ,ABT,CD,4,FQ
977,ABT CDR4 SQ,ABT,CD,4,SQ
978,ABT CDR5 HQ,ABT,CD,5,HQ
979,ABT CDR5 FQ,ABT,CD,5,FQ
980,ABT CDR5 SQ,ABT,CD,5,SQ
981,ABT CDR6 HQ,ABT,CD,6,HQ
982,ABT CDR6 FQ,ABT,CD,6,FQ
983,ABT CDR6 SQ,ABT,CD,6,SQ
984,ABT CDR7 HQ,ABT,CD,7,HQ
985,ABT CDR7 FQ,ABT,CD,7,FQ
986,ABT CDR7 SQ,ABT,CD,7,SQ
987,ABT ETR1 HQ,ABT,ET,1,HQ
988,ABT ETR1 FQ,ABT,ET,1,FQ
989,ABT ETR1 SQ,ABT,ET,1,SQ
990,ABT ETR2 HQ,ABT,ET,2,HQ
991,ABT ETR2 FQ,ABT,ET,2,FQ
992,ABT ETR2 SQ,ABT,ET,2,SQ
993,ABT ETR3 HQ,ABT,ET,3,HQ
994,ABT ETR3 FQ,ABT,ET,3,FQ
995,ABT ETR3 SQ,ABT,ET,3,SQ
996,ABT ETR4 HQ,ABT,ET,4,HQ
997,ABT ETR4 FQ,ABT,ET,4,FQ
998,ABT ETR4 SQ,ABT,ET,4,SQ
999,ABT ETR5 HQ,ABT,ET,5,HQ
1000,ABT ETR5 FQ,ABT,ET,5,FQ
1001,ABT ETR5 SQ,ABT,ET,5,SQ
1002,ABT ETR6 HQ,ABT,ET,6,HQ
1003,ABT ETR6 FQ,ABT,ET,6,FQ
1004,ABT ETR6 SQ,ABT,ET,6,SQ
1005,ABT ETR7 HQ,ABT,ET,7,HQ
1006,ABT ETR7 FQ,ABT,ET,7,FQ
1007,ABT ETR7 SQ,ABT,ET,7,SQ
1008,ABT GHR1 HQ,ABT,GH,1,HQ
1009,ABT GHR1 FQ,ABT,GH,1,FQ
1010,ABT GHR1 SQ,ABT,GH,1,SQ
1011,ABT GHR2 HQ,ABT,GH,2,HQ
1012,ABT GHR2 FQ,ABT,GH,2,FQ
1013,ABT GHR2 SQ,ABT,GH,2,SQ
1014,ABT GHR3 HQ,ABT,GH,3,HQ
1015,ABT GHR3 FQ,ABT,GH,3,FQ
1016,ABT GHR3 SQ,ABT,GH,3,SQ
1017,ABT GHR4 HQ,ABT,GH,4,HQ
1018,ABT GHR4 FQ,ABT,GH,4,FQ
1019,ABT GHR4 SQ,ABT,GH,4,SQ
1020,ABT GHR5 HQ,ABT,GH,5,HQ
1021,ABT GHR5 FQ,ABT,GH,5,FQ
1022,ABT GHR5 SQ,ABT,GH,5,SQ
1023,ABT GHR6 HQ,ABT,GH,6,HQ
1024,ABT GHR6 FQ,ABT,GH,6,FQ
1025,ABT GHR6 SQ,ABT,GH,6,SQ
1026,ABT GHR7 HQ,ABT,GH,7,HQ
1027,ABT GHR7 FQ,ABT,GH,7,FQ
1028,ABT GHR7 SQ,ABT,GH,7,SQ
1029,ABT INR1 HQ,ABT,IN,1,HQ
1030,ABT INR1 FQ,ABT,IN,1,FQ
1031,ABT INR1 SQ,ABT,IN,1,SQ
1032,ABT INR2 HQ,ABT,IN,2,HQ
1033,ABT INR2 FQ,ABT,IN,2,FQ
1034,ABT INR2 SQ,ABT,IN,2,SQ
1035,ABT INR3 HQ,ABT,IN,3,HQ
1036,ABT INR3 FQ,ABT,IN,3,FQ
1037,ABT INR3 SQ,ABT,IN,3,SQ
1038,ABT INR4 HQ,ABT,IN,4,HQ
1039,ABT INR4 FQ,ABT,IN,4,FQ
1040,ABT INR4 SQ,ABT,IN,4,SQ
1041,ABT INR5 HQ,ABT,IN,5,HQ
1042,ABT INR5 FQ,ABT,IN,5,FQ
1043,ABT INR5 SQ,ABT,IN,5,SQ
1044,ABT INR6 HQ,ABT,IN,6,HQ
1045,ABT INR6 FQ,ABT,IN,6,FQ
1046,ABT INR6 SQ,ABT,IN,6,SQ
1047,ABT INR7 HQ,ABT,IN,7,HQ
1048,ABT INR7 FQ,ABT,IN,7,FQ
1049,ABT INR7 SQ,ABT,IN,7,SQ
1050,ABT IDR1 HQ,ABT,ID,1,HQ
1051,ABT IDR1 FQ,ABT,ID,1,FQ
1052,ABT IDR1 SQ,ABT,ID,1,SQ
1053,ABT IDR2 HQ,ABT,ID,2,HQ
1054,ABT IDR2 FQ,ABT,ID,2,FQ
1055,ABT IDR2 SQ,ABT,ID,2,SQ
1056,ABT IDR3 HQ,ABT,ID,3,HQ
1057,ABT IDR3 FQ,ABT,ID,3,FQ
1058,ABT IDR3 SQ,ABT,ID,3,SQ
